ID_EVENTO,ATRIBUTO_FISCAL,VALOR,TIPO_VALOR,ORIGEM
E001,MODELO_DFE,55,str,sintética
E001,CHAVE_NFE,11111111111111111111111111111111111111111111,str,sintética
E001,PROTOCOLO_AUTORIZACAO,135260000000001,str,sintética
E001,STATUS_DFE,autorizado_nao_cancelado,str,sintética
E001,DT_FORNECIMENTO,2026-08-03,date,sintética
E001,AMBITO_OPERACAO,domestica,str,sintética
E001,QTD_ITENS_DFE,1,int,sintética
E001,CST_IBS_CBS,000,str,sintética
E001,CCLASSTRIB,000001,str,sintética
E001,VBC_CENTS,100000,int,sintética
E001,PCBS_PERCENT,0.9,decimal,sintética
E001,VCBS_CENTS,900,int,sintética
E001,DESTINACAO_AQUISICAO,revenda,str,sintética
E002,MODELO_DFE,55,str,sintética
E002,CHAVE_NFE,22222222222222222222222222222222222222222222,str,sintética
E002,PROTOCOLO_AUTORIZACAO,135260000000002,str,sintética
E002,STATUS_DFE,autorizado_nao_cancelado,str,sintética
E002,DT_FORNECIMENTO,2026-08-10,date,sintética
E002,AMBITO_OPERACAO,domestica,str,sintética
E002,QTD_ITENS_DFE,1,int,sintética
E002,CST_IBS_CBS,000,str,sintética
E002,CCLASSTRIB,000001,str,sintética
E002,VBC_CENTS,200000,int,sintética
E002,PCBS_PERCENT,0.9,decimal,sintética
E002,VCBS_CENTS,1800,int,sintética
