ID_PARAM,ID_VERSAO_NORMATIVA,ID_REGRA,TRIBUTO,CHAVE_PARAM,VALOR,TIPO_VALOR,TIPO_FONTE,FONTE_TITULO,FONTE_URL,DISPOSITIVO,VERSAO_NORMA,VIG_INI,VIG_FIM,DATA_CONSULTA,VERSAO_REGRA
PARAM_SIMPLES_F1_MAX,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F1_RBT12_MAX_CENTS,18000000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 1ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F1_RATE,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F1_NOMINAL_RATE_FRACTION,0.04,decimal,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 1ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F1_DED,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F1_DEDUCTION_CENTS,0,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 1ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F2_MAX,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F2_RBT12_MAX_CENTS,36000000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 2ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F2_RATE,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F2_NOMINAL_RATE_FRACTION,0.073,decimal,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 2ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F2_DED,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F2_DEDUCTION_CENTS,594000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 2ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F3_MAX,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F3_RBT12_MAX_CENTS,72000000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 3ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F3_RATE,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F3_NOMINAL_RATE_FRACTION,0.095,decimal,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 3ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F3_DED,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F3_DEDUCTION_CENTS,1386000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 3ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
PARAM_SIMPLES_F4_MAX,SIMPLES_2027_H1_V1,SIMPLES_2027_ANEXO_I,SIMPLES,SIMPLES_ANNEX_I_F4_RBT12_MAX_CENTS,180000000,int,norm,Resolução CGSN 190/2026,https://www.in.gov.br/web/dou/-/resolucao-cgsn-n-190-de-4-de-agosto-de-2026-724454118,"Anexo I, Comércio, 4ª faixa",Resolução CGSN 190/2026,2027-01-01,2028-12-31,2026-09-02,simples_2027_puro_hibrido_v1
